A.Ilyin, Y.Pronina  Curved pipes subjected to mechanochemical corrosion under pressure: Analytical and numerical estimates of the lifetime ;;;
Data set for constructing the error maps presented in Figure 7;;;
Error_1 is for Figure 7(a), Error_2 is for Figure 7(b), ;;;
##################################;;;
R/ro;h/ro;Error_1;Error_2
2.3;0.0323;1.1519;-1.4632
2.3;0.0333;1.1853;-1.5061
2.3;0.0345;1.2204;-1.5539
2.3;0.0357;1.2531;-1.5989
2.3;0.0370;1.2898;-1.6490
2.3;0.0385;1.3321;-1.7060
2.3;0.0400;1.3812;-1.7707
2.3;0.0417;1.4904;-1.9054
2.3;0.0435;1.5515;-1.9862
2.3;0.0455;1.6244;-2.0800
2.3;0.0476;1.7069;-2.1884
2.3;0.0500;1.8070;-2.3204
2.3;0.0526;1.9855;-2.5299
2.3;0.0556;2.1280;-2.7202
2.3;0.0588;2.3099;-2.9544
2.3;0.0625;2.5795;-3.2867
2.3;0.0667;2.8618;-3.6463
2.3;0.0714;3.2496;-4.1403
2.3;0.0769;3.6797;-4.7093
2.3;0.0833;4.2577;-5.4713
2.3;0.0909;4.9630;-6.4308
2.3;0.1000;5.7832;-7.5993
2.3;0.1111;6.8554;-9.1924
2.3;0.1250;8.0955;-11.1648
2.3;0.1429;9.5683;-13.7078
2.3;0.1667;11.1976;-16.8349
2.3;0.2000;12.8486;-20.4097
2.4;0.0200;0.5928;-0.7569
2.4;0.0204;0.6719;-0.9622
2.4;0.0208;0.6836;-0.8489
2.4;0.0213;0.7251;-0.9082
2.4;0.0217;0.7446;-0.9282
2.4;0.0222;0.7565;-0.9459
2.4;0.0227;0.7720;-0.9666
2.4;0.0233;0.7888;-0.9877
2.4;0.0238;0.8060;-1.0093
2.4;0.0244;0.8242;-1.0317
2.4;0.0250;0.8422;-1.0551
2.4;0.0256;0.8608;-1.0795
2.4;0.0263;0.8906;-1.0996
2.4;0.0270;0.9054;-1.1364
2.4;0.0278;0.9263;-1.1635
2.4;0.0286;0.9476;-1.1915
2.4;0.0294;0.9713;-1.2169
2.4;0.0303;1.0675;-1.3156
2.4;0.0313;1.0902;-1.3526
2.4;0.0323;1.1158;-1.3954
2.4;0.0333;1.1484;-1.4366
2.4;0.0345;1.1828;-1.4822
2.4;0.0357;1.2149;-1.5254
2.4;0.0370;1.2518;-1.5744
2.4;0.0385;1.2949;-1.6307
2.4;0.0400;1.3447;-1.6948
2.4;0.0417;1.4567;-1.8301
2.4;0.0435;1.5210;-1.9125
2.4;0.0455;1.5985;-2.0087
2.4;0.0476;1.6868;-2.1215
2.4;0.0500;1.7946;-2.2590
2.4;0.0526;1.9838;-2.4772
2.4;0.0556;2.1373;-2.6772
2.4;0.0588;2.3382;-2.9278
2.4;0.0625;2.6187;-3.2700
2.4;0.0667;2.9174;-3.6439
2.4;0.0714;3.3244;-4.1561
2.4;0.0769;3.7723;-4.7422
2.4;0.0833;4.3674;-5.5217
2.4;0.0909;5.0879;-6.4919
2.4;0.1000;5.9138;-7.6617
2.4;0.1111;6.9825;-9.2423
2.4;0.1250;8.2017;-11.1688
2.4;0.1429;9.6293;-13.6151
2.4;0.1667;11.1795;-16.5439
2.4;0.2000;12.7061;-19.7649
2.5;0.0200;0.5789;-0.7277
2.5;0.0204;0.6543;-0.9298
2.5;0.0208;0.6667;-0.8162
2.5;0.0213;0.7090;-0.8751
2.5;0.0217;0.7274;-0.8938
2.5;0.0222;0.7391;-0.9105
2.5;0.0227;0.7536;-0.9299
2.5;0.0233;0.7694;-0.9495
2.5;0.0238;0.7856;-0.9698
2.5;0.0244;0.8022;-0.9905
2.5;0.0250;0.8192;-1.0121
2.5;0.0256;0.8369;-1.0348
2.5;0.0263;0.8605;-1.0641
2.5;0.0270;0.8791;-1.0882
2.5;0.0278;0.8981;-1.1141
2.5;0.0286;0.9190;-1.1393
2.5;0.0294;0.9404;-1.1671
2.5;0.0303;1.0353;-1.2583
2.5;0.0313;1.0571;-1.2934
2.5;0.0323;1.0821;-1.3344
2.5;0.0333;1.1139;-1.3761
2.5;0.0345;1.1462;-1.4168
2.5;0.0357;1.1822;-1.4626
2.5;0.0370;1.2189;-1.5103
2.5;0.0385;1.2628;-1.5658
2.5;0.0400;1.3149;-1.6308
2.5;0.0417;1.4317;-1.7675
2.5;0.0435;1.4990;-1.8534
2.5;0.0455;1.5805;-1.9534
2.5;0.0476;1.6775;-2.0727
2.5;0.0500;1.7921;-2.2156
2.5;0.0526;1.9924;-2.4435
2.5;0.0556;2.1573;-2.6532
2.5;0.0588;2.3625;-2.9051
2.5;0.0625;2.6664;-3.2715
2.5;0.0667;2.9799;-3.6589
2.5;0.0714;3.4037;-4.1883
2.5;0.0769;3.8698;-4.7887
2.5;0.0833;4.4762;-5.5799
2.5;0.0909;5.2087;-6.5590
2.5;0.1000;6.0320;-7.7248
2.5;0.1111;7.0915;-9.2876
2.5;0.1250;8.2854;-11.1619
2.5;0.1429;9.6644;-13.5008
2.5;0.1667;11.1343;-16.2394
2.5;0.2000;12.5387;-19.1228
2.6;0.0200;0.5649;-0.7007
2.6;0.0204;0.6211;-0.8877
2.6;0.0208;0.6491;-0.7848
2.6;0.0213;0.6929;-0.8443
2.6;0.0217;0.7101;-0.8617
2.6;0.0222;0.7212;-0.8772
2.6;0.0227;0.7350;-0.8956
2.6;0.0233;0.7499;-0.9140
2.6;0.0238;0.7650;-0.9328
2.6;0.0244;0.7806;-0.9521
2.6;0.0250;0.7969;-0.9722
2.6;0.0256;0.8135;-0.9935
2.6;0.0263;0.8359;-1.0210
2.6;0.0270;0.8536;-1.0436
2.6;0.0278;0.8715;-1.0679
2.6;0.0286;0.8914;-1.0916
2.6;0.0294;0.9121;-1.1178
2.6;0.0303;1.0051;-1.2063
2.6;0.0313;1.0266;-1.2403
2.6;0.0323;1.0515;-1.2802
2.6;0.0333;1.0834;-1.3213
2.6;0.0345;1.1161;-1.3617
2.6;0.0357;1.1531;-1.4074
2.6;0.0370;1.1911;-1.4555
2.6;0.0385;1.2367;-1.5118
2.6;0.0400;1.2918;-1.5787
2.6;0.0417;1.4128;-1.7184
2.6;0.0435;1.4862;-1.8060
2.6;0.0455;1.5721;-1.9136
2.6;0.0476;1.6764;-2.0371
2.6;0.0500;1.7982;-2.1877
2.6;0.0526;2.0096;-2.4254
2.6;0.0556;2.1856;-2.6448
2.6;0.0588;2.4016;-2.9095
2.6;0.0625;2.7211;-3.2880
2.6;0.0667;3.0477;-3.6882
2.6;0.0714;3.4855;-4.2318
2.6;0.0769;3.9635;-4.8437
2.6;0.0833;4.5801;-5.6449
2.6;0.0909;5.3180;-6.6266
2.6;0.1000;6.1378;-7.7838
2.6;0.1111;7.1867;-9.3199
2.6;0.1250;8.3480;-11.1397
2.6;0.1429;9.6761;-13.3752
2.6;0.1667;11.0624;-15.9211
2.6;0.2000;12.3531;-18.4820
2.7;0.0200;0.5509;-0.6752
2.7;0.0204;0.6218;-0.8699
2.7;0.0208;0.6329;-0.7566
2.7;0.0213;0.6768;-0.8153
2.7;0.0217;0.6928;-0.8313
2.7;0.0222;0.7036;-0.8459
2.7;0.0227;0.7166;-0.8634
2.7;0.0233;0.7307;-0.8805
2.7;0.0238;0.7450;-0.8981
2.7;0.0244;0.7596;-0.9160
2.7;0.0250;0.7749;-0.9349
2.7;0.0256;0.7908;-0.9550
2.7;0.0263;0.8120;-0.9812
2.7;0.0270;0.8289;-1.0024
2.7;0.0278;0.8461;-1.0254
2.7;0.0286;0.8652;-1.0479
2.7;0.0294;0.8853;-1.0730
2.7;0.0303;0.9771;-1.1596
2.7;0.0313;0.9989;-1.1932
2.7;0.0323;1.0239;-1.2324
2.7;0.0333;1.0561;-1.2732
2.7;0.0345;1.0890;-1.3134
2.7;0.0357;1.1284;-1.3603
2.7;0.0370;1.1684;-1.4096
2.7;0.0385;1.2180;-1.4677
2.7;0.0400;1.2747;-1.5366
2.7;0.0417;1.4005;-1.6804
2.7;0.0435;1.4794;-1.7724
2.7;0.0455;1.5711;-1.8849
2.7;0.0476;1.6825;-2.0148
2.7;0.0500;1.8127;-2.1726
2.7;0.0526;2.0346;-2.4203
2.7;0.0556;2.2207;-2.6498
2.7;0.0588;2.4523;-2.9262
2.7;0.0625;2.7801;-3.3164
2.7;0.0667;3.1223;-3.7382
2.7;0.0714;3.5683;-4.2837
2.7;0.0769;4.0553;-4.9037
2.7;0.0833;4.6791;-5.7117
2.7;0.0909;5.4184;-6.6934
2.7;0.1000;6.2317;-7.8374
2.7;0.1111;7.2641;-9.3452
2.7;0.1250;8.3932;-11.1055
2.7;0.1429;9.6686;-13.2290
2.7;0.1667;10.9778;-15.5916
2.7;0.2000;12.1533;-17.8524
2.8;0.0200;0.5368;-0.6511
2.8;0.0204;0.6050;-0.8429
2.8;0.0208;0.6159;-0.7290
2.8;0.0213;0.6608;-0.7880
2.8;0.0217;0.6756;-0.8026
2.8;0.0222;0.6861;-0.8166
2.8;0.0227;0.6986;-0.8332
2.8;0.0233;0.7118;-0.8492
2.8;0.0238;0.7252;-0.8657
2.8;0.0244;0.7391;-0.8826
2.8;0.0250;0.7536;-0.9001
2.8;0.0256;0.7689;-0.9193
2.8;0.0263;0.7894;-0.9443
2.8;0.0270;0.8056;-0.9645
2.8;0.0278;0.8222;-0.9865
2.8;0.0286;0.8409;-1.0080
2.8;0.0294;0.8609;-1.0326
2.8;0.0303;0.9520;-1.1178
2.8;0.0313;0.9743;-1.1511
2.8;0.0323;0.9998;-1.1905
2.8;0.0333;1.0330;-1.2318
2.8;0.0345;1.0674;-1.2728
2.8;0.0357;1.1085;-1.3208
2.8;0.0370;1.1511;-1.3720
2.8;0.0385;1.2031;-1.4318
2.8;0.0400;1.2632;-1.5041
2.8;0.0417;1.3947;-1.6524
2.8;0.0435;1.4789;-1.7492
