A.Ilyin, Y.Pronina  Curved pipes subjected to mechanochemical corrosion under pressure: Analytical and numerical estimates of the lifetime ;;;
Data set for constructing the error maps presented in Figure 7;;;
Error_1 is for Figure 7(a), Error_2 is for Figure 7(b), ;;;
##################################;;;
R/ro;h/ro;Error_1;Error_2
11.3;0.1667;2.7011;-1.5127
11.3;0.2000;2.6095;-0.5719
11.4;0.0200;0.6749;-0.6889
11.4;0.0204;0.7232;-0.7390
11.4;0.0208;0.8809;-0.9029
11.4;0.0213;0.9373;-0.9593
11.4;0.0217;0.9704;-0.9936
11.4;0.0222;1.0067;-1.0315
11.4;0.0227;1.0415;-1.0685
11.4;0.0233;1.0794;-1.1070
11.4;0.0238;1.1174;-1.1470
11.4;0.0244;1.1573;-1.1888
11.4;0.0250;1.1989;-1.2325
11.4;0.0256;1.2439;-1.2802
11.4;0.0263;1.2897;-1.3314
11.4;0.0270;1.3373;-1.3800
11.4;0.0278;1.3867;-1.4320
11.4;0.0286;1.4383;-1.4863
11.4;0.0294;1.4922;-1.5431
11.4;0.0303;1.6696;-1.7071
11.4;0.0313;1.7310;-1.7835
11.4;0.0323;1.7918;-1.8593
11.4;0.0333;1.8594;-1.9283
11.4;0.0345;1.9298;-2.0078
11.4;0.0357;1.9965;-2.0789
11.4;0.0370;2.0684;-2.1552
11.4;0.0385;2.1434;-2.2347
11.4;0.0400;2.2196;-2.3172
11.4;0.0417;2.3924;-2.5078
11.4;0.0435;2.4733;-2.5898
11.4;0.0455;2.5473;-2.6755
11.4;0.0476;2.6249;-2.7579
11.4;0.0500;2.7015;-2.8389
11.4;0.0526;2.8574;-2.9957
11.4;0.0556;2.9205;-3.0653
11.4;0.0588;2.9884;-3.1335
11.4;0.0625;3.0946;-3.2393
11.4;0.0667;3.1427;-3.2729
11.4;0.0714;3.2132;-3.3331
11.4;0.0769;3.2188;-3.3146
11.4;0.0833;3.2464;-3.3004
11.4;0.0909;3.2262;-3.2269
11.4;0.1000;3.1524;-3.0555
11.4;0.1111;3.0904;-2.8652
11.4;0.1250;2.9595;-2.5429
11.4;0.1429;2.8217;-2.1063
11.4;0.1667;2.6678;-1.4719
11.4;0.2000;2.5812;-0.5352
11.5;0.0200;0.6800;-0.6942
11.5;0.0204;0.7271;-0.7462
11.5;0.0208;0.8863;-0.9086
11.5;0.0213;0.9422;-0.9655
11.5;0.0217;0.9751;-0.9996
11.5;0.0222;1.0119;-1.0369
11.5;0.0227;1.0466;-1.0736
11.5;0.0233;1.0840;-1.1127
11.5;0.0238;1.1220;-1.1522
11.5;0.0244;1.1621;-1.1938
11.5;0.0250;1.2035;-1.2374
11.5;0.0256;1.2484;-1.2848
11.5;0.0263;1.2940;-1.3357
11.5;0.0270;1.3405;-1.3846
11.5;0.0278;1.3904;-1.4358
11.5;0.0286;1.4417;-1.4895
11.5;0.0294;1.4949;-1.5460
11.5;0.0303;1.6720;-1.7094
11.5;0.0313;1.7330;-1.7854
11.5;0.0323;1.7931;-1.8604
11.5;0.0333;1.8603;-1.9287
11.5;0.0345;1.9296;-2.0073
11.5;0.0357;1.9957;-2.0778
11.5;0.0370;2.0664;-2.1532
11.5;0.0385;2.1408;-2.2312
11.5;0.0400;2.2158;-2.3126
11.5;0.0417;2.3871;-2.5018
11.5;0.0435;2.4668;-2.5819
11.5;0.0455;2.5394;-2.6661
11.5;0.0476;2.6155;-2.7466
11.5;0.0500;2.6899;-2.8257
11.5;0.0526;2.8439;-2.9792
11.5;0.0556;2.9034;-3.0486
11.5;0.0588;2.9656;-3.1115
11.5;0.0625;3.0752;-3.2153
11.5;0.0667;3.1197;-3.2452
11.5;0.0714;3.1874;-3.3019
11.5;0.0769;3.1905;-3.2802
11.5;0.0833;3.2142;-3.2622
11.5;0.0909;3.1929;-3.1862
11.5;0.1000;3.1177;-3.0130
11.5;0.1111;3.0539;-2.8205
11.5;0.1250;2.9244;-2.4982
11.5;0.1429;2.7855;-2.0618
11.5;0.1667;2.6353;-1.4297
11.5;0.2000;2.5563;-0.4966
11.6;0.0200;0.6852;-0.6994
11.6;0.0204;0.7337;-0.7493
11.6;0.0208;0.8918;-0.9141
11.6;0.0213;0.9481;-0.9703
11.6;0.0217;0.9810;-1.0045
11.6;0.0222;1.0173;-1.0422
11.6;0.0227;1.0517;-1.0790
11.6;0.0233;1.0893;-1.1176
11.6;0.0238;1.1272;-1.1571
11.6;0.0244;1.1668;-1.1985
11.6;0.0250;1.2080;-1.2420
11.6;0.0256;1.2527;-1.2892
11.6;0.0263;1.2980;-1.3399
11.6;0.0270;1.3450;-1.3879
11.6;0.0278;1.3938;-1.4393
11.6;0.0286;1.4448;-1.4927
11.6;0.0294;1.4977;-1.5488
11.6;0.0303;1.6742;-1.7116
11.6;0.0313;1.7346;-1.7869
11.6;0.0323;1.7940;-1.8615
11.6;0.0333;1.8608;-1.9292
11.6;0.0345;1.9292;-2.0070
11.6;0.0357;1.9945;-2.0765
11.6;0.0370;2.0647;-2.1509
11.6;0.0385;2.1377;-2.2281
11.6;0.0400;2.2121;-2.3079
11.6;0.0417;2.3819;-2.4954
11.6;0.0435;2.4604;-2.5740
11.6;0.0455;2.5312;-2.6565
11.6;0.0476;2.6057;-2.7347
11.6;0.0500;2.6784;-2.8122
11.6;0.0526;2.8302;-2.9652
11.6;0.0556;2.8891;-3.0285
11.6;0.0588;2.9518;-3.0903
11.6;0.0625;3.0532;-3.1901
11.6;0.0667;3.0966;-3.2177
11.6;0.0714;3.1615;-3.2708
11.6;0.0769;3.1620;-3.2467
11.6;0.0833;3.1852;-3.2278
11.6;0.0909;3.1597;-3.1454
11.6;0.1000;3.0831;-2.9702
11.6;0.1111;3.0177;-2.7779
11.6;0.1250;2.8884;-2.4545
11.6;0.1429;2.7514;-2.0182
11.6;0.1667;2.6037;-1.3885
11.6;0.2000;2.5266;-0.4616
11.7;0.0200;0.6903;-0.7041
11.7;0.0204;0.7400;-0.7561
11.7;0.0208;0.8969;-0.9195
11.7;0.0213;0.9534;-0.9756
11.7;0.0217;0.9861;-1.0097
11.7;0.0222;1.0222;-1.0474
11.7;0.0227;1.0567;-1.0842
11.7;0.0233;1.0941;-1.1226
11.7;0.0238;1.1318;-1.1619
11.7;0.0244;1.1712;-1.2032
11.7;0.0250;1.2124;-1.2465
11.7;0.0256;1.2569;-1.2934
11.7;0.0263;1.3019;-1.3440
11.7;0.0270;1.3487;-1.3917
11.7;0.0278;1.3969;-1.4428
11.7;0.0286;1.4477;-1.4958
11.7;0.0294;1.5003;-1.5516
11.7;0.0303;1.6763;-1.7136
11.7;0.0313;1.7363;-1.7886
11.7;0.0323;1.7950;-1.8623
11.7;0.0333;1.8610;-1.9292
11.7;0.0345;1.9290;-2.0064
11.7;0.0357;1.9935;-2.0750
11.7;0.0370;2.0625;-2.1482
11.7;0.0385;2.1349;-2.2243
11.7;0.0400;2.2079;-2.3032
11.7;0.0417;2.3763;-2.4889
11.7;0.0435;2.4535;-2.5660
11.7;0.0455;2.5230;-2.6468
11.7;0.0476;2.5956;-2.7236
11.7;0.0500;2.6667;-2.7985
11.7;0.0526;2.8162;-2.9468
11.7;0.0556;2.8731;-3.0098
11.7;0.0588;2.9345;-3.0693
11.7;0.0625;3.0329;-3.1658
11.7;0.0667;3.0739;-3.1902
11.7;0.0714;3.1361;-3.2398
11.7;0.0769;3.1343;-3.2132
11.7;0.0833;3.1538;-3.1885
11.7;0.0909;3.1274;-3.1064
11.7;0.1000;3.0487;-2.9295
11.7;0.1111;2.9828;-2.7336
11.7;0.1250;2.8529;-2.4101
11.7;0.1429;2.7165;-1.9773
11.7;0.1667;2.5714;-1.3504
11.7;0.2000;2.5002;-0.4276
11.8;0.0200;0.6947;-0.7097
11.8;0.0204;0.7422;-0.7619
11.8;0.0208;0.9020;-0.9247
11.8;0.0213;0.9577;-0.9814
11.8;0.0217;0.9905;-1.0155
11.8;0.0222;1.0273;-1.0526
11.8;0.0227;1.0616;-1.0891
11.8;0.0233;1.0986;-1.1277
11.8;0.0238;1.1360;-1.1667
11.8;0.0244;1.1758;-1.2078
11.8;0.0250;1.2165;-1.2507
11.8;0.0256;1.2608;-1.2976
11.8;0.0263;1.3056;-1.3479
11.8;0.0270;1.3516;-1.3961
11.8;0.0278;1.4001;-1.4459
11.8;0.0286;1.4504;-1.4986
11.8;0.0294;1.5027;-1.5539
11.8;0.0303;1.6784;-1.7156
11.8;0.0313;1.7375;-1.7897
11.8;0.0323;1.7958;-1.8633
11.8;0.0333;1.8612;-1.9293
11.8;0.0345;1.9281;-2.0055
11.8;0.0357;1.9922;-2.0730
11.8;0.0370;2.0602;-2.1455
11.8;0.0385;2.1317;-2.2204
11.8;0.0400;2.2034;-2.2980
11.8;0.0417;2.3703;-2.4823
11.8;0.0435;2.4463;-2.5578
11.8;0.0455;2.5145;-2.6369
11.8;0.0476;2.5856;-2.7118
11.8;0.0500;2.6551;-2.7845
11.8;0.0526;2.8024;-2.9310
11.8;0.0556;2.8563;-2.9926
11.8;0.0588;2.9121;-3.0478
11.8;0.0625;3.0135;-3.1416
11.8;0.0667;3.0498;-3.1636
11.8;0.0714;3.1107;-3.2095
11.8;0.0769;3.1064;-3.1796
11.8;0.0833;3.1185;-3.1499
11.8;0.0909;3.0943;-3.0673
11.8;0.1000;3.0145;-2.8884
11.8;0.1111;2.9482;-2.6914
11.8;0.1250;2.8179;-2.3680
11.8;0.1429;2.6837;-1.9354
11.8;0.1667;2.5417;-1.3109
11.8;0.2000;2.4771;-0.3917
11.9;0.0200;0.7003;-0.7136
11.9;0.0204;0.8086;-0.8275
11.9;0.0208;0.8016;-0.8188
11.9;0.0213;0.9629;-0.9872
11.9;0.0217;0.9956;-1.0210
11.9;0.0222;1.0322;-1.0581
11.9;0.0227;1.0664;-1.0946
11.9;0.0233;1.1032;-1.1328
11.9;0.0238;1.1407;-1.1718
11.9;0.0244;1.1800;-1.2126
11.9;0.0250;1.2208;-1.2555
11.9;0.0256;1.2647;-1.3015
11.9;0.0263;1.3098;-1.3498
11.9;0.0270;1.3551;-1.3990
11.9;0.0278;1.4031;-1.4482
11.9;0.0286;1.4526;-1.5007
11.9;0.0294;1.5043;-1.5546
11.9;0.0303;1.6801;-1.7224
11.9;0.0313;1.7353;-1.7978
11.9;0.0323;1.7966;-1.8627
11.9;0.0333;1.8653;-1.9340
11.9;0.0345;1.9281;-2.0054
11.9;0.0357;1.9944;-2.0757
11.9;0.0370;2.0590;-2.1425
11.9;0.0385;2.1321;-2.2235
11.9;0.0400;2.1988;-2.2927
11.9;0.0417;2.3644;-2.4756
11.9;0.0435;2.4344;-2.5495
11.9;0.0455;2.5065;-2.6268
11.9;0.0476;2.5758;-2.6997
11.9;0.0500;2.6433;-2.7708
11.9;0.0526;2.7889;-2.9160
11.9;0.0556;2.8403;-2.9743
11.9;0.0588;2.8955;-3.0238
11.9;0.0625;2.9922;-3.1174
11.9;0.0667;3.0281;-3.1362
11.9;0.0714;3.0858;-3.1801
11.9;0.0769;3.0786;-3.1521
11.9;0.0833;3.0888;-3.1141
11.9;0.0909;3.0631;-3.0289
11.9;0.1000;2.9814;-2.8482
11.9;0.1111;2.9129;-2.6514
11.9;0.1250;2.7833;-2.3268
11.9;0.1429;2.6515;-1.8961
11.9;0.1667;2.5112;-1.2744
11.9;0.2000;2.4514;-0.3566
12;0.0200;0.7046;-0.7191
12;0.0204;0.7552;-0.7715
12;0.0208;0.9120;-0.9349
12;0.0213;0.9683;-0.9911
12;0.0217;1.0008;-1.0249
12;0.0222;1.0366;-1.0625
12;0.0227;1.0709;-1.0987
12;0.0233;1.1080;-1.1366
12;0.0238;1.1451;-1.1755
12;0.0244;1.1841;-1.2164
12;0.0250;1.2247;-1.2590
12;0.0256;1.2683;-1.3054
12;0.0263;1.3125;-1.3550
12;0.0270;1.3586;-1.4018
12;0.0278;1.4059;-1.4520
12;0.0286;1.4554;-1.5038
12;0.0294;1.5069;-1.5582
12;0.0303;1.6816;-1.7187
12;0.0313;1.7398;-1.7918
12;0.0323;1.7969;-1.8629
12;0.0333;1.8653;-1.9335
12;0.0345;1.9270;-2.0039
12;0.0357;1.9926;-2.0734
12;0.0370;2.0560;-2.1410
12;0.0385;2.1286;-2.2191
12;0.0400;2.1943;-2.2874
12;0.0417;2.3585;-2.4684
12;0.0435;2.4269;-2.5410
12;0.0455;2.4978;-2.6169
12;0.0476;2.5653;-2.6878
12;0.0500;2.6312;-2.7573
12;0.0526;2.7747;-2.9001
12;0.0556;2.8256;-2.9537
12;0.0588;2.8772;-3.0026
12;0.0625;2.9690;-3.0940
12;0.0667;3.0056;-3.1089
12;0.0714;3.0602;-3.1498
12;0.0769;3.0515;-3.1192
12;0.0833;3.0646;-3.0810
12;0.0909;3.0311;-2.9903
12;0.1000;2.9486;-2.8087
12;0.1111;2.8812;-2.6121
12;0.1250;2.7504;-2.2864
12;0.1429;2.6187;-1.8559
12;0.1667;2.4817;-1.2366
12;0.2000;2.4229;-0.3278
12.1;0.0200;0.7091;-0.7242
12.1;0.0204;0.7587;-0.7750
12.1;0.0208;0.9149;-0.9415
12.1;0.0213;0.9731;-0.9960
12.1;0.0217;1.0055;-1.0297
12.1;0.0222;1.0412;-1.0670
12.1;0.0227;1.0753;-1.1033
12.1;0.0233;1.1124;-1.1412
12.1;0.0238;1.1493;-1.1800
12.1;0.0244;1.1881;-1.2205
12.1;0.0250;1.2283;-1.2630
12.1;0.0256;1.2720;-1.3090
12.1;0.0263;1.3158;-1.3584
12.1;0.0270;1.3617;-1.4049
12.1;0.0278;1.4086;-1.4546
12.1;0.0286;1.4578;-1.5062
12.1;0.0294;1.5088;-1.5601
12.1;0.0303;1.6830;-1.7201
12.1;0.0313;1.7406;-1.7926
12.1;0.0323;1.7974;-1.8631
12.1;0.0333;1.8649;-1.9331
12.1;0.0345;1.9259;-2.0025
12.1;0.0357;1.9907;-2.0712
12.1;0.0370;2.0533;-2.1375
12.1;0.0385;2.1248;-2.2147
12.1;0.0400;2.1895;-2.2820
12.1;0.0417;2.3523;-2.4614
12.1;0.0435;2.4197;-2.5323
12.1;0.0455;2.4889;-2.6064
12.1;0.0476;2.5550;-2.6757
12.1;0.0500;2.6194;-2.7434
12.1;0.0526;2.7607;-2.8837
12.1;0.0556;2.8098;-2.9351
12.1;0.0588;2.8592;-2.9815
12.1;0.0625;2.9510;-3.0693
12.1;0.0667;2.9831;-3.0823
12.1;0.0714;3.0353;-3.1202
12.1;0.0769;3.0244;-3.0871
12.1;0.0833;3.0334;-3.0458
12.1;0.0909;3.0002;-2.9535
12.1;0.1000;2.9160;-2.7688
12.1;0.1111;2.8466;-2.5683
12.1;0.1250;2.7169;-2.2452
12.1;0.1429;2.5865;-1.8164
12.1;0.1667;2.4532;-1.2017
12.1;0.2000;2.4019;-0.2916
12.2;0.0200;0.7135;-0.7289
12.2;0.0204;0.7616;-0.7819
12.2;0.0208;0.9215;-0.9447
12.2;0.0213;0.9770;-1.0014
12.2;0.0217;1.0095;-1.0350
12.2;0.0222;1.0457;-1.0718
12.2;0.0227;1.0797;-1.1078
12.2;0.0233;1.1162;-1.1457
12.2;0.0238;1.1530;-1.1844
12.2;0.0244;1.1919;-1.2246
12.2;0.0250;1.2320;-1.2666
12.2;0.0256;1.2753;-1.3125
12.2;0.0263;1.3189;-1.3615
12.2;0.0270;1.3639;-1.4086
12.2;0.0278;1.4113;-1.4573
12.2;0.0286;1.4601;-1.5084
12.2;0.0294;1.5106;-1.5618
12.2;0.0303;1.6843;-1.7213
12.2;0.0313;1.7414;-1.7932
12.2;0.0323;1.7973;-1.8631
12.2;0.0333;1.8641;-1.9323
12.2;0.0345;1.9248;-2.0010
12.2;0.0357;1.9889;-2.0689
12.2;0.0370;2.0504;-2.1344
12.2;0.0385;2.1210;-2.2102
12.2;0.0400;2.1848;-2.2764
12.2;0.0417;2.3463;-2.4538
12.2;0.0435;2.4121;-2.5234
12.2;0.0455;2.4801;-2.5960
12.2;0.0476;2.5449;-2.6638
12.2;0.0500;2.6074;-2.7292
12.2;0.0526;2.7466;-2.8668
12.2;0.0556;2.7922;-2.9184
12.2;0.0588;2.8416;-2.9604
12.2;0.0625;2.9311;-3.0453
12.2;0.0667;2.9606;-3.0557
12.2;0.0714;3.0110;-3.0906
12.2;0.0769;2.9973;-3.0548
12.2;0.0833;3.0007;-3.0075
12.2;0.0909;2.9694;-2.9164
12.2;0.1000;2.8846;-2.7308
12.2;0.1111;2.8134;-2.5306
12.2;0.1250;2.6850;-2.2063
12.2;0.1429;2.5565;-1.7777
12.2;0.1667;2.4258;-1.1654
12.2;0.2000;2.3763;-0.2644
12.3;0.0200;0.7180;-0.7335
12.3;0.0204;0.7682;-0.7848
12.3;0.0208;0.9261;-0.9494
12.3;0.0213;0.9823;-1.0053
12.3;0.0217;1.0145;-1.0390
12.3;0.0222;1.0500;-1.0761
12.3;0.0227;1.0839;-1.1122
12.3;0.0233;1.1205;-1.1496
12.3;0.0238;1.1572;-1.1881
12.3;0.0244;1.1957;-1.2284
12.3;0.0250;1.2357;-1.2702
12.3;0.0256;1.2786;-1.3160
12.3;0.0263;1.3219;-1.3648
12.3;0.0270;1.3672;-1.4106
12.3;0.0278;1.4136;-1.4596
12.3;0.0286;1.4620;-1.5105
12.3;0.0294;1.5123;-1.5636
12.3;0.0303;1.6852;-1.7222
12.3;0.0313;1.7418;-1.7935
12.3;0.0323;1.7974;-1.8627
12.3;0.0333;1.8636;-1.9313
12.3;0.0345;1.9233;-1.9991
12.3;0.0357;1.9867;-2.0662
12.3;0.0370;2.0475;-2.1307
12.3;0.0385;2.1172;-2.2056
12.3;0.0400;2.1798;-2.2707
12.3;0.0417;2.3396;-2.4465
12.3;0.0435;2.4047;-2.5148
12.3;0.0455;2.4711;-2.5859
12.3;0.0476;2.5341;-2.6516
12.3;0.0500;2.5951;-2.7151
12.3;0.0526;2.7323;-2.8507
12.3;0.0556;2.7776;-2.8976
12.3;0.0588;2.8234;-2.9394
12.3;0.0625;2.9117;-3.0220
12.3;0.0667;2.9367;-3.0298
12.3;0.0714;2.9861;-3.0617
12.3;0.0769;2.9710;-3.0232
12.3;0.0833;2.9760;-2.9766
12.3;0.0909;2.9431;-2.8768
12.3;0.1000;2.8525;-2.6924
12.3;0.1111;2.7817;-2.4923
12.3;0.1250;2.6526;-2.1666
12.3;0.1429;2.5258;-1.7416
12.3;0.1667;2.3977;-1.1320
12.3;0.2000;2.3520;-0.2325
12.4;0.0200;0.7228;-0.7376
12.4;0.0204;0.7730;-0.7896
12.4;0.0208;0.9306;-0.9541
12.4;0.0213;0.9868;-1.0100
12.4;0.0217;1.0189;-1.0435
12.4;0.0222;1.0543;-1.0805
12.4;0.0227;1.0879;-1.1164
12.4;0.0233;1.1246;-1.1539
12.4;0.0238;1.1610;-1.1920
12.4;0.0244;1.1994;-1.2321
12.4;0.0250;1.2390;-1.2738
12.4;0.0256;1.2818;-1.3193
12.4;0.0263;1.3249;-1.3676
12.4;0.0270;1.3698;-1.4135
12.4;0.0278;1.4159;-1.4620
12.4;0.0286;1.4640;-1.5123
12.4;0.0294;1.5136;-1.5649
12.4;0.0303;1.6861;-1.7233
12.4;0.0313;1.7424;-1.7939
12.4;0.0323;1.7972;-1.8624
12.4;0.0333;1.8628;-1.9302
12.4;0.0345;1.9219;-1.9972
12.4;0.0357;1.9842;-2.0634
12.4;0.0370;2.0442;-2.1270
12.4;0.0385;2.1128;-2.2008
12.4;0.0400;2.1746;-2.2644
12.4;0.0417;2.3330;-2.4390
12.4;0.0435;2.3967;-2.5059
12.4;0.0455;2.4619;-2.5750
12.4;0.0476;2.5236;-2.6395
12.4;0.0500;2.5832;-2.7012
12.4;0.0526;2.7183;-2.8342
12.4;0.0556;2.7618;-2.8792
12.4;0.0588;2.8056;-2.9184
12.4;0.0625;2.8906;-2.9980
12.4;0.0667;2.9160;-3.0031
12.4;0.0714;2.9618;-3.0326
12.4;0.0769;2.9441;-2.9915
12.4;0.0833;2.9491;-2.9426
12.4;0.0909;2.9128;-2.8411
12.4;0.1000;2.8218;-2.6559
12.4;0.1111;2.7505;-2.4521
12.4;0.1250;2.6219;-2.1277
12.4;0.1429;2.4960;-1.7043
12.4;0.1667;2.3706;-1.0972
12.4;0.2000;2.3292;-0.2041
12.5;0.0200;0.7270;-0.7422
12.5;0.0204;0.7759;-0.7965
12.5;0.0208;0.9331;-0.9602
12.5;0.0213;0.9904;-1.0150
12.5;0.0217;1.0226;-1.0485
12.5;0.0222;1.0584;-1.0848
12.5;0.0227;1.0921;-1.1206
12.5;0.0233;1.1281;-1.1581
12.5;0.0238;1.1646;-1.1961
12.5;0.0244;1.2029;-1.2357
12.5;0.0250;1.2424;-1.2772
12.5;0.0256;1.2848;-1.3223
12.5;0.0263;1.3276;-1.3706
12.5;0.0270;1.3716;-1.4165
12.5;0.0278;1.4180;-1.4642
12.5;0.0286;1.4657;-1.5143
12.5;0.0294;1.5151;-1.5662
12.5;0.0303;1.6869;-1.7240
12.5;0.0313;1.7424;-1.7939
12.5;0.0323;1.7969;-1.8620
12.5;0.0333;1.8616;-1.9290
12.5;0.0345;1.9201;-1.9952
12.5;0.0357;1.9818;-2.0605
12.5;0.0370;2.0407;-2.1232
12.5;0.0385;2.1085;-2.1959
12.5;0.0400;2.1694;-2.2588
12.5;0.0417;2.3266;-2.4312
12.5;0.0435;2.3888;-2.4967
12.5;0.0455;2.4525;-2.5648
12.5;0.0476;2.5129;-2.6270
12.5;0.0500;2.5711;-2.6868
12.5;0.0526;2.7042;-2.8177
12.5;0.0556;2.7444;-2.8622
12.5;0.0588;2.7877;-2.8975
12.5;0.0625;2.8717;-2.9747
12.5;0.0667;2.8940;-2.9771
12.5;0.0714;2.9376;-3.0043
12.5;0.0769;2.9180;-2.9604
12.5;0.0833;2.9153;-2.9064
12.5;0.0909;2.8835;-2.8051
12.5;0.1000;2.7913;-2.6189
12.5;0.1111;2.7186;-2.4165
12.5;0.1250;2.5906;-2.0925
12.5;0.1429;2.4669;-1.6696
12.5;0.1667;2.3446;-1.0653
12.5;0.2000;2.3079;-0.1736
12.6;0.0200;0.7314;-0.7464
12.6;0.0204;0.7798;-0.8004
12.6;0.0208;0.9394;-0.9631
12.6;0.0213;0.9946;-1.0195
12.6;0.0217;1.0266;-1.0527
12.6;0.0222;1.0625;-1.0889
12.6;0.0227;1.0959;-1.1245
12.6;0.0233;1.1318;-1.1618
12.6;0.0238;1.1680;-1.1998
12.6;0.0244;1.2062;-1.2392
12.6;0.0250;1.2454;-1.2805
12.6;0.0256;1.2878;-1.3253
12.6;0.0263;1.3304;-1.3732
12.6;0.0270;1.3740;-1.4188
12.6;0.0278;1.4200;-1.4662
12.6;0.0286;1.4674;-1.5157
12.6;0.0294;1.5163;-1.5676
12.6;0.0303;1.6877;-1.7244
12.6;0.0313;1.7427;-1.7940
12.6;0.0323;1.7961;-1.8623
12.6;0.0333;1.8562;-1.9226
12.6;0.0345;1.9178;-1.9925
12.6;0.0357;1.9754;-2.0534
12.6;0.0370;2.0366;-2.1180
12.6;0.0385;2.0986;-2.1843
12.6;0.0400;2.1640;-2.2525
12.6;0.0417;2.3200;-2.4237
12.6;0.0435;2.3808;-2.4873
12.6;0.0455;2.4433;-2.5538
12.6;0.0476;2.5021;-2.6147
12.6;0.0500;2.5589;-2.6726
12.6;0.0526;2.6895;-2.7990
12.6;0.0556;2.7285;-2.8433
12.6;0.0588;2.7654;-2.8752
12.6;0.0625;2.8504;-2.9507
12.6;0.0667;2.8720;-2.9510
12.6;0.0714;2.9128;-2.9750
12.6;0.0769;2.8920;-2.9238
12.6;0.0833;2.8879;-2.8728
12.6;0.0909;2.8536;-2.7708
12.6;0.1000;2.7602;-2.5825
12.6;0.1111;2.6882;-2.3776
12.6;0.1250;2.5611;-2.0564
12.6;0.1429;2.4386;-1.6337
12.6;0.1667;2.3180;-1.0319
12.6;0.2000;2.2860;-0.1466
12.7;0.0200;0.7353;-0.7513
12.7;0.0204;0.7864;-0.8034
12.7;0.0208;0.9434;-0.9674
12.7;0.0213;0.9994;-1.0230
12.7;0.0217;1.0313;-1.0563
12.7;0.0222;1.0664;-1.0929
12.7;0.0227;1.0996;-1.1283
12.7;0.0233;1.1358;-1.1652
12.7;0.0238;1.1717;-1.2029
12.7;0.0244;1.2094;-1.2426
12.7;0.0250;1.2485;-1.2837
12.7;0.0256;1.2906;-1.3282
12.7;0.0263;1.3328;-1.3758
12.7;0.0270;1.3769;-1.4206
12.7;0.0278;1.4218;-1.4680
12.7;0.0286;1.4689;-1.5171
12.7;0.0294;1.5175;-1.5684
12.7;0.0303;1.6881;-1.7248
12.7;0.0313;1.7427;-1.7937
12.7;0.0323;1.7956;-1.8616
12.7;0.0333;1.8551;-1.9210
12.7;0.0345;1.9177;-1.9918
12.7;0.0357;1.9725;-2.0499
12.7;0.0370;2.0333;-2.1139
12.7;0.0385;2.0942;-2.1790
12.7;0.0400;2.1585;-2.2460
12.7;0.0417;2.3127;-2.4159
12.7;0.0435;2.3729;-2.4780
12.7;0.0455;2.4340;-2.5429
12.7;0.0476;2.4916;-2.6020
12.7;0.0500;2.5465;-2.6584
12.7;0.0526;2.6757;-2.7843
12.7;0.0556;2.7140;-2.8233
12.7;0.0588;2.7552;-2.8588
12.7;0.0625;2.8309;-2.9273
12.7;0.0667;2.8500;-2.9256
12.7;0.0714;2.8867;-2.9472
12.7;0.0769;2.8661;-2.8932
12.7;0.0833;2.8639;-2.8437
12.7;0.0909;2.8249;-2.7360
12.7;0.1000;2.7305;-2.5468
12.7;0.1111;2.6583;-2.3447
12.7;0.1250;2.5310;-2.0210
12.7;0.1429;2.4097;-1.6004
12.7;0.1667;2.2909;-0.9991
12.7;0.2000;2.2655;-0.1175
12.8;0.0200;0.7401;-0.7541
12.8;0.0204;0.8473;-0.8721
12.8;0.0208;0.8421;-0.8605
12.8;0.0213;1.0035;-1.0278
12.8;0.0217;1.0354;-1.0609
12.8;0.0222;1.0704;-1.0974
12.8;0.0227;1.1035;-1.1328
12.8;0.0233;1.1395;-1.1694
12.8;0.0238;1.1751;-1.2070
12.8;0.0244;1.2127;-1.2462
12.8;0.0250;1.2515;-1.2870
12.8;0.0256;1.2933;-1.3310
12.8;0.0263;1.3357;-1.3764
12.8;0.0270;1.3789;-1.4222
12.8;0.0278;1.4237;-1.4690
12.8;0.0286;1.4697;-1.5180
12.8;0.0294;1.5178;-1.5679
12.8;0.0303;1.6886;-1.7303
12.8;0.0313;1.7388;-1.8005
12.8;0.0323;1.7948;-1.8604
12.8;0.0333;1.8538;-1.9194
12.8;0.0345;1.9155;-1.9881
12.8;0.0357;1.9706;-2.0478
12.8;0.0370;2.0295;-2.1084
12.8;0.0385;2.0896;-2.1736
12.8;0.0400;2.1530;-2.2397
12.8;0.0417;2.3061;-2.4078
12.8;0.0435;2.3645;-2.4689
12.8;0.0455;2.4245;-2.5321
12.8;0.0476;2.4804;-2.5894
12.8;0.0500;2.5341;-2.6438
12.8;0.0526;2.6608;-2.7657
12.8;0.0556;2.6979;-2.8045
12.8;0.0588;2.7372;-2.8378
12.8;0.0625;2.8120;-2.9045
12.8;0.0667;2.8269;-2.9007
12.8;0.0714;2.8627;-2.9191
12.8;0.0769;2.8404;-2.8641
12.8;0.0833;2.8385;-2.8113
12.8;0.0909;2.7964;-2.7020
12.8;0.1000;2.7011;-2.5118
12.8;0.1111;2.6279;-2.3058
12.8;0.1250;2.5004;-1.9847
12.8;0.1429;2.3817;-1.5658
12.8;0.1667;2.2682;-0.9692
12.8;0.2000;2.2446;-0.0919
12.9;0.0200;0.7433;-0.7591
12.9;0.0204;0.7936;-0.8146
12.9;0.0208;0.9516;-0.9759
12.9;0.0213;1.0067;-1.0317
12.9;0.0217;1.0384;-1.0648
