R,hr,Value1,Value2
8.1,25,-1.76842,1.70314
8.1,26,-1.86588,1.78946
8.1,27,-1.96358,1.88058
8.1,28,-2.07335,1.9811
8.1,29,-2.19274,2.0921
8.1,30,-2.31014,2.20092
8.1,31,-2.55371,2.41968
8.1,32,-2.69206,2.54909
8.1,33,-2.83758,2.67779
8.1,34,-2.99192,2.81563
8.1,35,-3.15489,2.95948
8.1,36,-3.4157,3.20285
8.1,37,-3.59127,3.34885
8.1,38,-3.78308,3.51677
8.1,39,-4.02448,3.73366
8.1,40,-4.20322,3.89822
8.1,41,-4.43576,4.10304
8.1,42,-4.59118,4.24614
8.1,43,-4.76524,4.412
8.1,44,-4.89158,4.54519
8.1,45,-4.89149,4.6034
8.1,46,-4.87149,4.66275
8.1,47,-4.66266,4.61662
8.1,48,-4.27645,4.49831
8.1,49,-3.59476,4.28556
8.1,50,-2.4979,4.0218
8.2,5,-0.485608,0.472244
8.2,6,-0.520251,0.505316
8.2,7,-0.671558,0.653246
8.2,8,-0.722162,0.704201
8.2,9,-0.753773,0.73485
8.2,10,-0.789695,0.769548
8.2,11,-0.824877,0.802852
8.2,12,-0.862468,0.840082
8.2,13,-0.901945,0.877968
8.2,14,-0.944177,0.918601
8.2,15,-0.989137,0.961722
8.2,16,-1.03908,1.00919
8.2,17,-1.0926,1.05913
8.2,18,-1.14677,1.11051
8.2,19,-1.2047,1.16575
8.2,20,-1.26616,1.2244
8.2,21,-1.33208,1.28701
8.2,22,-1.5024,1.4693
8.2,23,-1.59211,1.54504
8.2,24,-1.68416,1.62175
8.2,25,-1.773,1.70722
8.2,26,-1.87623,1.79947
8.2,27,-1.97758,1.89398
8.2,28,-2.07948,1.98864
8.2,29,-2.20027,2.09967
8.2,30,-2.31669,2.20705
8.2,31,-2.55844,2.42435
8.2,32,-2.69555,2.55248
8.2,33,-2.83923,2.67978
8.2,34,-2.99152,2.81609
8.2,35,-3.15166,2.95736
8.2,36,-3.4105,3.19606
8.2,37,-3.58374,3.34277
8.2,38,-3.76058,3.50251
8.2,39,-4.00362,3.71922
8.2,40,-4.17745,3.87752
8.2,41,-4.40263,4.07906
8.2,42,-4.55021,4.21412
8.2,43,-4.71876,4.37881
8.2,44,-4.82547,4.50479
8.2,45,-4.8228,4.55055
8.2,46,-4.79272,4.60257
8.2,47,-4.57557,4.55146
8.2,48,-4.1837,4.4331
8.2,49,-3.5007,4.21395
8.2,50,-2.40457,3.96033
8.3,5,-0.492492,0.479198
8.3,6,-0.528006,0.512905
8.3,7,-0.576466,0.56848
8.3,8,-0.730873,0.713029
8.3,9,-0.762808,0.743776
8.3,10,-0.798854,0.778786
8.3,11,-0.831926,0.811355
8.3,12,-0.872347,0.849766
8.3,13,-0.911977,0.887781
8.3,14,-0.954371,0.928549
8.3,15,-0.999502,0.971811
8.3,16,-1.04963,1.01943
8.3,17,-1.10308,1.06929
8.3,18,-1.15745,1.12107
8.3,19,-1.21531,1.17623
8.3,20,-1.26296,1.23982
8.3,21,-1.33544,1.29813
8.3,22,-1.51318,1.48014
8.3,23,-1.60284,1.55522
8.3,24,-1.69449,1.63183
8.3,25,-1.78289,1.71687
8.3,26,-1.88565,1.80868
8.3,27,-1.98649,1.90238
8.3,28,-2.08744,1.99651
8.3,29,-2.20722,2.10627
8.3,30,-2.32251,2.21301
8.3,31,-2.56271,2.42892
8.3,32,-2.69845,2.55588
8.3,33,-2.84013,2.68106
8.3,34,-2.98967,2.81549
8.3,35,-3.14729,2.95423
8.3,36,-3.40335,3.19071
8.3,37,-3.57094,3.33134
8.3,38,-3.73811,3.48589
8.3,39,-3.984,3.70132
8.3,40,-4.15056,3.85687
8.3,41,-4.36889,4.05273
8.3,42,-4.50922,4.1825
8.3,43,-4.66618,4.33579
8.3,44,-4.76741,4.46041
8.3,45,-4.75438,4.49893
8.3,46,-4.71529,4.54704
8.3,47,-4.4912,4.48734
8.3,48,-4.0937,4.36156
8.3,49,-3.40721,4.14784
8.3,50,-2.31681,3.89659
8.4,5,-0.499094,0.486424
8.4,6,-0.53582,0.52082
8.4,7,-0.689139,0.669313
8.4,8,-0.740162,0.720906
8.4,9,-0.771739,0.752594
8.4,10,-0.808506,0.787344
8.4,11,-0.843896,0.821758
8.4,12,-0.882167,0.85885
8.4,13,-0.921887,0.897257
8.4,14,-0.964619,0.93821
8.4,15,-1.00961,0.981666
8.4,16,-1.05985,1.02949
8.4,17,-1.11368,1.07956
8.4,18,-1.16763,1.13132
8.4,19,-1.22617,1.18568
8.4,20,-1.28713,1.24499
8.4,21,-1.35281,1.30721
8.4,22,-1.5237,1.49035
8.4,23,-1.6132,1.5654
8.4,24,-1.70468,1.64138
8.4,25,-1.79255,1.72607
8.4,26,-1.89475,1.81749
8.4,27,-1.99497,1.91046
8.4,28,-2.09485,2.00378
8.4,29,-2.21348,2.11269
8.4,30,-2.32793,2.21851
8.4,31,-2.56687,2.43274
8.4,32,-2.70065,2.55859
8.4,33,-2.84015,2.68214
8.4,34,-2.98779,2.81435
8.4,35,-3.14274,2.95111
8.4,36,-3.3953,3.18595
8.4,37,-3.56067,3.32467
8.4,38,-3.73568,3.48131
8.4,39,-3.96272,3.68452
8.4,40,-4.1247,3.82976
8.4,41,-4.33524,4.0267
8.4,42,-4.46812,4.15068
8.4,43,-4.61712,4.29871
8.4,44,-4.70868,4.41538
8.4,45,-4.68734,4.44772
8.4,46,-4.6391,4.48822
8.4,47,-4.40632,4.42434
8.4,48,-4.0045,4.29831
8.4,49,-3.31859,4.07948
8.4,50,-2.23174,3.83646
8.5,5,-0.506292,0.493266
8.5,6,-0.543198,0.5282
8.5,7,-0.696616,0.678108
8.5,8,-0.748262,0.730308
8.5,9,-0.780681,0.761396
8.5,10,-0.817241,0.796973
8.5,11,-0.853083,0.830978
8.5,12,-0.891368,0.86851
8.5,13,-0.93134,0.907155
8.5,14,-0.974096,0.948131
8.5,15,-1.01961,0.991611
8.5,16,-1.06989,1.03946
8.5,17,-1.12377,1.08956
8.5,18,-1.17777,1.1411
8.5,19,-1.2358,1.19626
8.5,20,-1.29737,1.25481
8.5,21,-1.3628,1.31706
8.5,22,-1.53386,1.50031
8.5,23,-1.62311,1.5751
8.5,24,-1.71432,1.65081
8.5,25,-1.80154,1.73521
8.5,26,-1.90341,1.82569
8.5,27,-2.0029,1.9183
8.5,28,-2.10198,2.01056
8.5,29,-2.21975,2.11904
8.5,30,-2.33241,2.22329
8.5,31,-2.57038,2.43666
8.5,32,-2.7025,2.5607
8.5,33,-2.84018,2.68227
8.5,34,-2.98528,2.8132
8.5,35,-3.13739,2.94717
8.5,36,-3.38624,3.1776
8.5,37,-3.54856,3.31532
8.5,38,-3.71295,3.46503
8.5,39,-3.93969,3.66837
8.5,40,-4.09751,3.81365
8.5,41,-4.30158,3.99979
8.5,42,-4.42767,4.11876
8.5,43,-4.56856,4.2632
8.5,44,-4.65134,4.37062
8.5,45,-4.62157,4.39702
8.5,46,-4.56404,4.42919
8.5,47,-4.32552,4.36257
8.5,48,-3.91785,4.23287
8.5,49,-3.23032,4.01367
8.5,50,-2.14926,3.77617
8.6,5,-0.513212,0.500188
8.6,6,-0.551043,0.53609
8.6,7,-0.70493,0.686297
8.6,8,-0.757586,0.738144
8.6,9,-0.789328,0.770271
8.6,10,-0.826715,0.805273
8.6,11,-0.8623,0.839949
8.6,12,-0.901007,0.877532
8.6,13,-0.941186,0.916231
8.6,14,-0.983917,0.957718
8.6,15,-1.0294,1.00127
8.6,16,-1.07966,1.04919
8.6,17,-1.13351,1.09913
8.6,18,-1.18776,1.151
8.6,19,-1.24577,1.20598
8.6,20,-1.30702,1.26436
8.6,21,-1.37272,1.32642
8.6,22,-1.54385,1.50981
8.6,23,-1.63278,1.58441
8.6,24,-1.72231,1.66109
8.6,25,-1.81625,1.74929
8.6,26,-1.91297,1.83526
8.6,27,-2.00541,1.92106
8.6,28,-2.11142,2.01794
8.6,29,-2.22554,2.12433
8.6,30,-2.33712,2.22778
8.6,31,-2.57314,2.43961
8.6,32,-2.70346,2.56229
8.6,33,-2.84108,2.68155
8.6,34,-2.98253,2.81254
8.6,35,-3.13166,2.94295
8.6,36,-3.37779,3.17239
8.6,37,-3.53512,3.3054
8.6,38,-3.69579,3.44771
8.6,39,-3.91829,3.65182
8.6,40,-4.0689,3.79187
8.6,41,-4.26782,3.97784
8.6,42,-4.38603,4.08612
8.6,43,-4.51943,4.22559
8.6,44,-4.5942,4.32127
8.6,45,-4.55577,4.34692
8.6,46,-4.49001,4.3731
8.6,47,-4.24401,4.30098
8.6,48,-3.83363,4.16931
8.6,49,-3.1445,3.95367
8.6,50,-2.06648,3.71774
8.7,5,-0.520156,0.507086
8.7,6,-0.557471,0.543617
8.7,7,-0.713379,0.693769
8.7,8,-0.765536,0.747282
8.7,9,-0.798233,0.779099
8.7,10,-0.835089,0.814611
8.7,11,-0.871012,0.849392
8.7,12,-0.910074,0.88687
8.7,13,-0.95039,0.925679
8.7,14,-0.993509,0.967055
8.7,15,-1.03916,1.01072
8.7,16,-1.08831,1.05805
8.7,17,-1.12732,1.11423
8.7,18,-1.18235,1.16562
8.7,19,-1.24399,1.21804
8.7,20,-1.3163,1.27423
8.7,21,-1.38188,1.3359
8.7,22,-1.5533,1.51923
8.7,23,-1.64211,1.5934
8.7,24,-1.73153,1.66962
8.7,25,-1.82466,1.75765
8.7,26,-1.92049,1.84278
8.7,27,-2.01234,1.92803
8.7,28,-2.11772,2.02398
8.7,29,-2.23074,2.12971
8.7,30,-2.34112,2.23172
8.7,31,-2.57549,2.44243
8.7,32,-2.70435,2.56345
8.7,33,-2.83985,2.68088
8.7,34,-2.97896,2.81031
8.7,35,-3.12546,2.93853
8.7,36,-3.36814,3.16326
8.7,37,-3.52027,3.29647
8.7,38,-3.67827,3.43741
8.7,39,-3.89564,3.63382
8.7,40,-4.04254,3.76447
8.7,41,-4.23223,3.94231
8.7,42,-4.3493,4.05008
8.7,43,-4.47062,4.18446
8.7,44,-4.53827,4.27728
8.7,45,-4.49106,4.2975
8.7,46,-4.4183,4.31901
8.7,47,-4.1664,4.24079
8.7,48,-3.74993,4.10637
8.7,49,-3.06326,3.8901
8.7,50,-1.99163,3.65931
8.8,5,-0.527043,0.514042
8.8,6,-0.565992,0.551053
8.8,7,-0.614828,0.607198
8.8,8,-0.773911,0.755812
8.8,9,-0.806884,0.787554
8.8,10,-0.840956,0.821325
8.8,11,-0.878006,0.856837
8.8,12,-0.919176,0.895949
8.8,13,-0.959578,0.934912
8.8,14,-1.00279,0.976221
8.8,15,-1.04853,1.02005
8.8,16,-1.09906,1.06779
8.8,17,-1.15295,1.11803
8.8,18,-1.20722,1.16971
8.8,19,-1.26497,1.22475
8.8,20,-1.31186,1.28797
8.8,21,-1.39108,1.34504
8.8,22,-1.56272,1.52836
8.8,23,-1.65104,1.60215
8.8,24,-1.73991,1.67797
8.8,25,-1.8328,1.76527
8.8,26,-1.92803,1.84994
8.8,27,-2.0192,1.93435
8.8,28,-2.12347,2.02975
8.8,29,-2.23529,2.13419
8.8,30,-2.34434,2.23553
8.8,31,-2.5778,2.44484
8.8,32,-2.70461,2.56425
8.8,33,-2.83835,2.67992
8.8,34,-2.97499,2.80743
8.8,35,-3.11872,2.93308
8.8,36,-3.35491,3.15554
8.8,37,-3.50574,3.28159
8.8,38,-3.6551,3.41454
8.8,39,-3.87305,3.61615
8.8,40,-4.01307,3.74775
8.8,41,-4.19799,3.91513
8.8,42,-4.30853,4.01833
8.8,43,-4.42204,4.14587
8.8,44,-4.48129,4.23378
8.8,45,-4.42735,4.24794
8.8,46,-4.34608,4.26398
8.8,47,-4.08945,4.18208
8.8,48,-3.67031,4.04547
8.8,49,-2.98208,3.82775
8.8,50,-1.91354,3.60681
8.9,5,-0.534183,0.520755
8.9,6,-0.572932,0.559048
8.9,7,-0.730356,0.709994
8.9,8,-0.782423,0.76401
8.9,9,-0.815414,0.796119
8.9,10,-0.852802,0.832145
8.9,11,-0.889053,0.867036
8.9,12,-0.928232,0.904847
8.9,13,-0.968905,0.943782
8.9,14,-1.01216,0.985291
8.9,15,-1.05795,1.0291
8.9,16,-1.10725,1.07634
8.9,17,-1.14534,1.13316
8.9,18,-1.20079,1.18396
8.9,19,-1.27405,1.23369
8.9,20,-1.33479,1.2921
8.9,21,-1.39995,1.35365
8.9,22,-1.57172,1.53699
8.9,23,-1.65978,1.61045
8.9,24,-1.74837,1.68413
8.9,25,-1.8348,1.76699
8.9,26,-1.93371,1.85552
8.9,27,-2.03033,1.94504
8.9,28,-2.12743,2.03501
8.9,29,-2.23307,2.13432
8.9,30,-2.34753,2.23894
8.9,31,-2.57953,2.44918
8.9,32,-2.70464,2.56476
8.9,33,-2.83504,2.68082
8.9,34,-2.97103,2.80138
8.9,35,-3.11189,2.92759
8.9,36,-3.34776,3.14738
8.9,37,-3.4945,3.27239
8.9,38,-3.64311,3.40897
8.9,39,-3.85114,3.59604
8.9,40,-3.98568,3.72556
8.9,41,-4.16503,3.89123
8.9,42,-4.26364,3.99026
8.9,43,-4.37459,4.10842
8.9,44,-4.42535,4.19417
8.9,45,-4.36456,4.1992
8.9,46,-4.27601,4.21111
8.9,47,-4.01311,4.12494
8.9,48,-3.59104,3.98403
8.9,49,-2.9031,3.7715
8.9,50,-1.84042,3.55251
9.0,5,-0.540717,0.527862
9.0,6,-0.581214,0.56595
9.0,7,-0.630042,0.622454
9.0,8,-0.790786,0.772344
9.0,9,-0.823963,0.804253
9.0,10,-0.861328,0.840488
9.0,11,-0.895524,0.874319
9.0,12,-0.937166,0.913634
9.0,13,-0.977822,0.952584
9.0,14,-1.02106,0.994109
9.0,15,-1.06683,1.03793
9.0,16,-1.11739,1.08591
9.0,17,-1.17158,1.13614
9.0,18,-1.22562,1.18757
9.0,19,-1.28313,1.24235
9.0,20,-1.32974,1.30556
9.0,21,-1.40127,1.36261
9.0,22,-1.58023,1.54548
9.0,23,-1.66795,1.61837
9.0,24,-1.75616,1.69174
9.0,25,-1.84184,1.77397
9.0,26,-1.94066,1.86183
9.0,27,-2.03606,1.95095
9.0,28,-2.13222,2.03981
9.0,29,-2.23724,2.13828
9.0,30,-2.35018,2.24163
9.0,31,-2.58061,2.45057
9.0,32,-2.70389,2.56466
9.0,33,-2.83227,2.67909
9.0,34,-2.96652,2.79787
9.0,35,-3.10435,2.92211
9.0,36,-3.3363,3.1379
9.0,37,-3.47977,3.25887
9.0,38,-3.62531,3.39521
9.0,39,-3.82635,3.57809
9.0,40,-3.95954,3.69856
9.0,41,-4.12999,3.8636
9.0,42,-4.22343,3.95761
9.0,43,-4.32624,4.07066
9.0,44,-4.37036,4.1511
9.0,45,-4.30261,4.15138
9.0,46,-4.20799,4.15743
9.0,47,-3.93884,4.06713
9.0,48,-3.51386,3.92612
9.0,49,-2.82622,3.71186
9.0,50,-1.77219,3.49844
9.1,5,-0.547553,0.534679
9.1,6,-0.588565,0.573361
9.1,7,-0.745487,0.726404
9.1,8,-0.799558,0.779688
9.1,9,-0.832243,0.812637
9.1,10,-0.870415,0.848502
9.1,11,-0.906807,0.88386
9.1,12,-0.946136,0.921944
9.1,13,-0.986967,0.96094
9.1,14,-1.03014,1.00274
9.1,15,-1.07585,1.04662
9.1,16,-1.12635,1.09466
9.1,17,-1.18047,1.14471
9.1,18,-1.23443,1.1962
9.1,19,-1.29243,1.25027
9.1,20,-1.35252,1.30874
9.1,21,-1.41727,1.3698
9.1,22,-1.58849,1.55361
9.1,23,-1.67611,1.62626
9.1,24,-1.76355,1.69908
9.1,25,-1.84907,1.78104
9.1,26,-1.94702,1.86797
9.1,27,-2.04185,1.9561
9.1,28,-2.137,2.04456
9.1,29,-2.24051,2.14191
9.1,30,-2.35265,2.24405
9.1,31,-2.58141,2.45174
9.1,32,-2.70275,2.56441
9.1,33,-2.82947,2.67687
9.1,34,-2.96085,2.79392
9.1,35,-3.09657,2.91581
9.1,36,-3.32561,3.13099
9.1,37,-3.46574,3.24917
9.1,38,-3.61203,3.38239
9.1,39,-3.80348,3.56011
9.1,40,-3.93007,3.68007
9.1,41,-4.09608,3.83616
9.1,42,-4.18338,3.92599
9.1,43,-4.27983,4.03719
9.1,44,-4.31518,4.10875
9.1,45,-4.24143,4.10362
9.1,46,-4.13924,4.10504
9.1,47,-3.86657,4.01103
9.1,48,-3.43869,3.86915
9.1,49,-2.75137,3.65528
9.1,50,-1.70049,3.45053
9.2,5,-0.554427,0.541461
9.2,6,-0.596519,0.581156
9.2,7,-0.644973,0.63739
9.2,8,-0.806989,0.7885
9.2,9,-0.840615,0.820725
9.2,10,-0.875149,0.855002
9.2,11,-0.912689,0.891255
9.2,12,-0.954612,0.930711
9.2,13,-0.995321,0.969807
9.2,14,-1.03861,1.01126
9.2,15,-1.0847,1.05524
9.2,16,-1.13508,1.10313
9.2,17,-1.18907,1.15329
9.2,18,-1.2429,1.20463
9.2,19,-1.30047,1.25906
9.2,20,-1.34654,1.32218
9.2,21,-1.42499,1.37802
9.2,22,-1.59673,1.56144
9.2,23,-1.68355,1.63362
9.2,24,-1.77112,1.70623
9.2,25,-1.86123,1.79321
9.2,26,-1.95202,1.87337
9.2,27,-2.04208,1.95691
9.2,28,-2.13976,2.04831
9.2,29,-2.25044,2.14953
9.2,30,-2.35445,2.24625
9.2,31,-2.58185,2.45085
9.2,32,-2.7016,2.56367
9.2,33,-2.82609,2.67463
9.2,34,-2.95652,2.79047
9.2,35,-3.08847,2.90921
9.2,36,-3.31103,3.12001
9.2,37,-3.44807,3.23527
9.2,38,-3.58173,3.35561
9.2,39,-3.78037,3.54101
9.2,40,-3.9017,3.65145
9.2,41,-4.0624,3.81416
9.2,42,-4.14254,3.89409
9.2,43,-4.23239,3.99599
9.2,44,-4.26296,4.06553
9.2,45,-4.18095,4.05598
9.2,46,-4.07377,4.05197
9.2,47,-3.79467,3.95672
9.2,48,-3.36547,3.81318
9.2,49,-2.68067,3.60344
9.2,50,-1.63353,3.39905
9.3,5,-0.561078,0.548268
9.3,6,-0.780677,0.638412
9.3,7,-0.761696,0.74099
9.3,8,-0.811324,0.797446
9.3,9,-0.833504,0.815111
9.3,10,-0.886701,0.865466
9.3,11,-0.923707,0.900398
9.3,12,-0.960905,0.937602
9.3,13,-1.00258,0.977462
9.3,14,-1.04738,1.01948
9.3,15,-1.0933,1.0636
9.3,16,-1.14376,1.11163
9.3,17,-1.19837,1.16071
9.3,18,-1.25149,1.21268
9.3,19,-1.30916,1.26647
9.3,20,-1.36889,1.32466
9.3,21,-1.43267,1.3857
9.3,22,-1.60427,1.56904
9.3,23,-1.69116,1.64078
9.3,24,-1.77781,1.71323
9.3,25,-1.86762,1.79818
9.3,26,-1.95844,1.87937
9.3,27,-2.05185,1.96599
9.3,28,-2.14506,2.05283
9.3,29,-2.24648,2.14807
9.3,30,-2.35592,2.24794
9.3,31,-2.58186,2.45101
9.3,32,-2.69808,2.55773
9.3,33,-2.82206,2.67161
9.3,34,-2.94988,2.78497
9.3,35,-3.07999,2.90235
9.3,36,-3.30168,3.11029
9.3,37,-3.43096,3.2243
9.3,38,-3.56884,3.34965
9.3,39,-3.75765,3.522
9.3,40,-3.87136,3.63391
9.3,41,-4.02645,3.78148
9.3,42,-4.10262,3.86127
9.3,43,-4.1887,3.96376
9.3,44,-4.20719,4.02813
9.3,45,-4.12231,4.00945
9.3,46,-4.00742,4.00238
9.3,47,-3.72463,3.90192
9.3,48,-3.29229,3.75693
9.3,49,-2.60967,3.55
9.3,50,-1.56571,3.35389
9.4,5,-0.567639,0.555162
9.4,6,-0.78738,0.645071
9.4,7,-0.769581,0.748781
9.4,8,-0.819238,0.805188
9.4,9,-0.841423,0.822986
9.4,10,-0.895313,0.87287
9.4,11,-0.9319,0.90858
9.4,12,-0.969351,0.945726
9.4,13,-1.01106,0.985748
9.4,14,-1.05589,1.02771
9.4,15,-1.10159,1.07176
9.4,16,-1.15209,1.11974
9.4,17,-1.20673,1.16875
9.4,18,-1.26015,1.22014
9.4,19,-1.3173,1.27437
9.4,20,-1.37677,1.33221
9.4,21,-1.44027,1.39315
9.4,22,-1.61165,1.57618
9.4,23,-1.69792,1.64752
9.4,24,-1.78456,1.71954
9.4,25,-1.87332,1.80405
9.4,26,-1.96372,1.88444
9.4,27,-2.0563,1.97053
9.4,28,-2.14861,2.05611
9.4,29,-2.24905,2.15071
9.4,30,-2.357,2.24953
9.4,31,-2.58139,2.45113
9.4,32,-2.69581,2.55619
9.4,33,-2.81829,2.66868
9.4,34,-2.94342,2.77965
9.4,35,-3.07052,2.89485
9.4,36,-3.28946,3.10045
9.4,37,-3.41985,3.21127
9.4,38,-3.54986,3.33413
9.4,39,-3.73246,3.50257
9.4,40,-3.84276,3.61057
9.4,41,-3.99304,3.75371
9.4,42,-4.06266,3.82686
9.4,43,-4.13898,3.92464
9.4,44,-4.15747,3.98252
9.4,45,-4.06303,3.96317
9.4,46,-3.94286,3.95222
9.4,47,-3.65639,3.84904
9.4,48,-3.22275,3.7018
9.4,49,-2.54048,3.49822
9.4,50,-1.50525,3.30329
9.5,5,-0.574642,0.561632
9.5,6,-0.795306,0.652291
9.5,7,-0.77724,0.756391
9.5,8,-0.826884,0.81278
9.5,9,-0.849463,0.830741
9.5,10,-0.903349,0.880812
9.5,11,-0.940141,0.916496
9.5,12,-0.977575,0.953614
9.5,13,-1.01927,0.99383
9.5,14,-1.06408,1.03577
9.5,15,-1.10976,1.07979
9.5,16,-1.16024,1.12774
9.5,17,-1.21487,1.17673
9.5,18,-1.26746,1.22859
9.5,19,-1.32512,1.28202
9.5,20,-1.38455,1.33956
9.5,21,-1.44802,1.39963
9.5,22,-1.61883,1.5832
9.5,23,-1.70472,1.65419
9.5,24,-1.79063,1.72523
9.5,25,-1.87895,1.80963
9.5,26,-1.96851,1.88926
9.5,27,-2.06018,1.97454
9.5,28,-2.15073,2.0589
9.5,29,-2.2569,2.15859
9.5,30,-2.35806,2.2507
9.5,31,-2.57905,2.45319
9.5,32,-2.69289,2.55435
9.5,33,-2.81472,2.66342
9.5,34,-2.93605,2.77587
9.5,35,-3.06164,2.88767
9.5,36,-3.27488,3.09247
9.5,37,-3.40124,3.19723
9.5,38,-3.52602,3.31387
9.5,39,-3.70825,3.4822
9.5,40,-3.81432,3.58936
9.5,41,-3.95968,3.72573
9.5,42,-4.0235,3.79514
9.5,43,-4.0997,3.89236
9.5,44,-4.10193,3.94535
9.5,45,-4.00546,3.91812
9.5,46,-3.88002,3.90053
9.5,47,-3.58987,3.79696
9.5,48,-3.15313,3.6492
9.5,49,-2.47305,3.44656
9.5,50,-1.4438,3.25716
9.6,5,-0.581242,0.568299
9.6,6,-0.624075,0.610074
9.6,7,-0.785026,0.763876
9.6,8,-0.838847,0.819675
9.6,9,-0.872898,0.852531
9.6,10,-0.910749,0.889138
9.6,11,-0.947694,0.924625
9.6,12,-0.987609,0.963064
9.6,13,-1.02858,1.00221
9.6,14,-1.0719,1.04394
9.6,15,-1.11776,1.08751
9.6,16,-1.16818,1.13546
9.6,17,-1.22194,1.18519
9.6,18,-1.27525,1.23606
9.6,19,-1.33199,1.28975
9.6,20,-1.39131,1.34702
9.6,21,-1.45467,1.40682
9.6,22,-1.62574,1.58987
9.6,23,-1.7112,1.66054
9.6,24,-1.79664,1.73124
9.6,25,-1.88445,1.81467
9.6,26,-1.9731,1.89389
9.6,27,-2.06416,1.97839
9.6,28,-2.15327,2.06159
9.6,29,-2.25829,2.16038
9.6,30,-2.35818,2.25116
9.6,31,-2.57786,2.45226
9.6,32,-2.69017,2.55224
9.6,33,-2.80983,2.65961
9.6,34,-2.92875,2.76977
9.6,35,-3.05164,2.87949
9.6,36,-3.26247,3.08111
9.6,37,-3.38728,3.18377
9.6,38,-3.5077,3.29913
9.6,39,-3.68424,3.46321
9.6,40,-3.78523,3.56427
9.6,41,-3.92549,3.69822
9.6,42,-3.9833,3.76335
9.6,43,-4.04746,3.85177
9.6,44,-4.05018,3.9042
9.6,45,-3.94834,3.8725
9.6,46,-3.81749,3.85353
9.6,47,-3.52348,3.74456
9.6,48,-3.08701,3.59785
9.6,49,-2.40732,3.39667
9.6,50,-1.38131,3.21755
9.7,5,-0.58778,0.574837
9.7,6,-0.810165,0.666321
9.7,7,-0.792475,0.771091
9.7,8,-0.842199,0.827925
9.7,9,-0.86503,0.845904
9.7,10,-0.918565,0.896856
9.7,11,-0.956091,0.931952
9.7,12,-0.993365,0.969328
9.7,13,-1.03513,1.00937
9.7,14,-1.07978,1.05158
9.7,15,-1.12578,1.09519
9.7,16,-1.1761,1.14294
9.7,17,-1.23028,1.19172
9.7,18,-1.28294,1.24337
9.7,19,-1.33927,1.29683
9.7,20,-1.39903,1.35359
9.7,21,-1.46195,1.41312
9.7,22,-1.63233,1.59653
9.7,23,-1.71761,1.66634
9.7,24,-1.80253,1.73673
9.7,25,-1.88943,1.81952
9.7,26,-1.97745,1.89805
9.7,27,-2.06746,1.98183
9.7,28,-2.15582,2.06423
9.7,29,-2.25962,2.16218
9.7,30,-2.35817,2.25167
9.7,31,-2.57645,2.45145
9.7,32,-2.68715,2.54991
9.7,33,-2.80454,2.65564
9.7,34,-2.92146,2.764
9.7,35,-3.04211,2.87173
9.7,36,-3.25104,3.06882
9.7,37,-3.36877,3.17092
9.7,38,-3.48637,3.28137
9.7,39,-3.65969,3.44338
9.7,40,-3.75846,3.54323
9.7,41,-3.89124,3.67061
9.7,42,-3.94467,3.73154
9.7,43,-4.00264,3.81507
9.7,44,-4.00001,3.86414
9.7,45,-3.89281,3.82822
9.7,46,-3.75791,3.8051
9.7,47,-3.46025,3.69542
9.7,48,-3.0207,3.54644
9.7,49,-2.34541,3.347
9.7,50,-1.32324,3.17263
9.8,5,-0.594598,0.580918
9.8,6,-0.639821,0.622938
9.8,7,-0.686621,0.679866
9.8,8,-0.854625,0.833778
9.8,9,-0.888672,0.86691
9.8,10,-0.923203,0.901926
9.8,11,-0.96324,0.94002
9.8,12,-1.00361,0.97791
9.8,13,-1.04434,1.01737
9.8,14,-1.08766,1.05898
9.8,15,-1.13352,1.10312
9.8,16,-1.18342,1.15024
9.8,17,-1.21965,1.20598
9.8,18,-1.29073,1.24979
9.8,19,-1.33423,1.30667
9.8,20,-1.4059,1.36011
9.8,21,-1.46861,1.4197
9.8,22,-1.63885,1.60265
9.8,23,-1.72326,1.67222
9.8,24,-1.80758,1.74174
9.8,25,-1.89142,1.82083
9.8,26,-1.98151,1.9018
9.8,27,-2.07077,1.98488
9.8,28,-2.16062,2.06756
9.8,29,-2.25638,2.15763
9.8,30,-2.35796,2.25192
9.8,31,-2.57433,2.45004
9.8,32,-2.68284,2.55182
9.8,33,-2.7988,2.65323
9.8,34,-2.91412,2.75599
9.8,35,-3.03191,2.86307
9.8,36,-3.23766,3.05758
9.8,37,-3.35237,3.15722
9.8,38,-3.46588,3.26493
9.8,39,-3.63524,3.42389
9.8,40,-3.72792,3.519
9.8,41,-3.85686,3.64097
9.8,42,-3.90489,3.70047
9.8,43,-3.95642,3.77776
9.8,44,-3.95137,3.81934
9.8,45,-3.83763,3.78439
9.8,46,-3.69582,3.75837
9.8,47,-3.39703,3.64608
9.8,48,-2.95597,3.49501
9.8,49,-2.2829,3.30082
9.8,50,-1.26676,3.12839
9.9,5,-0.600462,0.587722
9.9,6,-0.646316,0.629242
9.9,7,-0.694392,0.687426
9.9,8,-0.862132,0.841082
9.9,9,-0.896229,0.8743
9.9,10,-0.930589,0.909406
9.9,11,-0.971358,0.946954
9.9,12,-1.0111,0.985365
9.9,13,-1.05189,1.0247
9.9,14,-1.09526,1.06617
9.9,15,-1.14093,1.10995
9.9,16,-1.19089,1.15763
9.9,17,-1.24523,1.20609
9.9,18,-1.29805,1.25664
9.9,19,-1.35399,1.30998
