R,hr,Value1,Value2
2.4,8,-0.908177,0.725104
2.4,9,-0.928209,0.744562
2.4,10,-0.945902,0.756525
2.4,11,-0.966562,0.772045
2.4,12,-0.987694,0.788798
2.4,13,-1.00933,0.805995
2.4,14,-1.03171,0.824206
2.4,15,-1.05508,0.842216
2.4,16,-1.07951,0.860767
2.4,17,-1.09955,0.890579
2.4,18,-1.13643,0.905446
2.4,19,-1.16349,0.926255
2.4,20,-1.19152,0.947612
2.4,21,-1.21692,0.971303
2.4,22,-1.31561,1.06752
2.4,23,-1.35257,1.0902
2.4,24,-1.39544,1.11576
2.4,25,-1.43661,1.14842
2.4,26,-1.48223,1.18281
2.4,27,-1.52539,1.21489
2.4,28,-1.57442,1.25179
2.4,29,-1.63067,1.29491
2.4,30,-1.69477,1.3447
2.4,31,-1.83012,1.45672
2.4,32,-1.91246,1.52102
2.4,33,-2.00872,1.5985
2.4,34,-2.1215,1.68682
2.4,35,-2.259,1.7946
2.4,36,-2.47721,1.98376
2.4,37,-2.67719,2.13733
2.4,38,-2.92783,2.33816
2.4,39,-3.26998,2.61866
2.4,40,-3.64389,2.91738
2.4,41,-4.15609,3.32437
2.4,42,-4.74217,3.77226
2.4,43,-5.52174,4.36741
2.4,44,-6.49186,5.08789
2.4,45,-7.66171,5.91378
2.4,46,-9.2423,6.98246
2.4,47,-11.1688,8.20167
2.4,48,-13.6151,9.62925
2.4,49,-16.5439,11.1795
2.4,50,-19.7649,12.7061
2.5,5,-0.727711,0.578856
2.5,6,-0.929764,0.654326
2.5,7,-0.816215,0.666716
2.5,8,-0.8751,0.709027
2.5,9,-0.893843,0.727385
2.5,10,-0.910481,0.739051
2.5,11,-0.929891,0.753633
2.5,12,-0.949518,0.769413
2.5,13,-0.969754,0.785585
2.5,14,-0.990453,0.802177
2.5,15,-1.01205,0.819219
2.5,16,-1.03482,0.836938
2.5,17,-1.06411,0.860526
2.5,18,-1.08817,0.879092
2.5,19,-1.11411,0.898058
2.5,20,-1.13934,0.918959
2.5,21,-1.16711,0.94042
2.5,22,-1.25831,1.03532
2.5,23,-1.29344,1.05706
2.5,24,-1.33439,1.08213
