R/ro;h/ro;Error_Inner_Thin;Error_Outer_Thin;Error_Inner_Thick;Error_Outer_Thick
2.2;0.023255814;-1.07328;0.827476;-6.29997;-8.4608
2.2;0.023809524;-1.09831;0.846826;-6.27873;-8.49019
2.2;0.024390244;-1.12464;0.867458;-6.25609;-8.5211
2.2;0.025;-1.15124;0.887701;-6.23384;-8.55244
2.2;0.025641026;-1.17987;0.909156;-6.21026;-8.5861
2.2;0.026315789;-1.21466;0.936196;-6.18066;-8.62654
2.2;0.027027027;-1.23395;0.964688;-6.14946;-8.65051
2.2;0.027777778;-1.2678;0.987488;-6.12432;-8.6903
2.2;0.028571429;-1.29984;1.01097;-6.09841;-8.72834
2.2;0.029411765;-1.34461;1.03312;-6.07388;-8.78027
2.2;0.03030303;-1.44779;1.13627;-5.96247;-8.89514
2.2;0.03125;-1.48985;1.16127;-5.93477;-8.94467
2.2;0.032258065;-1.53829;1.18991;-5.90309;-9.00136
2.2;0.033333333;-1.58386;1.22539;-5.86402;-9.05527
2.2;0.034482759;-1.63443;1.26085;-5.82488;-9.11492
2.2;0.035714286;-1.68235;1.29503;-5.78702;-9.17211
2.2;0.037037037;-1.73444;1.33196;-5.7461;-9.23423
2.2;0.038461538;-1.79361;1.37469;-5.69885;-9.30445
2.2;0.04;-1.85988;1.42334;-5.64513;-9.38284
2.2;0.041666667;-1.99413;1.53139;-5.52759;-9.53488
2.2;0.043478261;-2.07443;1.59222;-5.46049;-9.62971
2.2;0.045454545;-2.16971;1.65882;-5.38698;-9.74143
2.2;0.047619048;-2.27593;1.73842;-5.29932;-9.86586
2.2;0.05;-2.40252;1.83048;-5.19803;-10.0133
2.2;0.052631579;-2.60396;1.99756;-5.01601;-10.2424
2.2;0.055555556;-2.78645;2.13043;-4.87026;-10.4527
2.2;0.058823529;-3.01349;2.30365;-4.68082;-10.7126
2.2;0.0625;-3.32749;2.5519;-4.41041;-11.0683
2.2;0.066666667;-3.67145;2.81582;-4.12251;-11.4588
2.2;0.071428571;-4.14559;3.18228;-3.72389;-11.9926
2.2;0.076923077;-4.69811;3.59035;-3.2796;-12.6149
2.2;0.083333333;-5.43868;4.14608;-2.67573;-13.445
2.2;0.090909091;-6.37963;4.83736;-1.92483;-14.4978
2.2;0.1;-7.54025;5.64137;-1.05073;-15.797
2.2;0.111111111;-9.14093;6.71211;0.112388;-17.584
2.2;0.125;-11.1495;7.96484;1.47518;-19.8311
2.2;0.142857143;-13.7885;9.47528;3.12103;-22.7902
2.2;0.166666667;-17.1003;11.187;4.99365;-26.5295
2.2;0.2;-21.0524;12.9604;6.9516;-31.0617
2.3;0.02;-0.78871;0.606962;-6.49978;-8.10247
2.3;0.020408163;-0.998022;0.688578;-6.41164;-8.32853
2.3;0.020833333;-0.884314;0.700316;-6.39834;-8.20818
2.3;0.021276596;-0.943835;0.74117;-6.35382;-8.27371
2.3;0.02173913;-0.96543;0.76163;-6.33112;-8.29863
2.3;0.022222222;-0.984655;0.773357;-6.31773;-8.32109
2.3;0.022727273;-1.00619;0.790542;-6.29846;-8.34612
2.3;0.023255814;-1.0286;0.808354;-6.27848;-8.37218
2.3;0.023809524;-1.05196;0.826493;-6.2581;-8.39936
2.3;0.024390244;-1.07616;0.845865;-6.23635;-8.42754
2.3;0.025;-1.10126;0.864753;-6.21507;-8.4568
2.3;0.025641026;-1.12752;0.88479;-6.1925;-8.48744
2.3;0.026315789;-1.16133;0.910061;-6.16427;-8.5263
2.3;0.027027027;-1.18856;0.932195;-6.13933;-8.55825
2.3;0.027777778;-1.21783;0.954345;-6.1143;-8.59255
2.3;0.028571429;-1.24823;0.977337;-6.08829;-8.62823
2.3;0.029411765;-1.28055;1.00124;-6.06122;-8.66616
2.3;0.03030303;-1.37871;1.10131;-5.95246;-8.77495
2.3;0.03125;-1.41783;1.12493;-5.92551;-8.82061
2.3;0.032258065;-1.46321;1.15191;-5.89483;-8.87323
2.3;0.033333333;-1.50611;1.18526;-5.85722;-8.92348
2.3;0.034482759;-1.55386;1.22038;-5.81756;-8.97922
2.3;0.035714286;-1.59886;1.25309;-5.78034;-9.03235
2.3;0.037037037;-1.64896;1.2898;-5.73866;-9.09133
2.3;0.038461538;-1.70602;1.33208;-5.69082;-9.15821
2.3;0.04;-1.77065;1.38118;-5.63546;-9.23369
2.3;0.041666667;-1.9054;1.49041;-5.51545;-9.38498
2.3;0.043478261;-1.98621;1.55153;-5.44669;-9.47898
2.3;0.045454545;-2.07997;1.6244;-5.36503;-9.58759
2.3;0.047619048;-2.18835;1.7069;-5.27269;-9.7127
2.3;0.05;-2.32035;1.80697;-5.16111;-9.86412
2.3;0.052631579;-2.52994;1.98553;-4.96498;-10.1
2.3;0.055555556;-2.72016;2.12798;-4.80694;-10.3163
2.3;0.058823529;-2.95438;2.30992;-4.60593;-10.5815
2.3;0.0625;-3.28672;2.57947;-4.31029;-10.954
2.3;0.066666667;-3.64631;2.86184;-3.99992;-11.3581
2.3;0.071428571;-4.14028;3.24962;-3.5755;-11.9096
2.3;0.076923077;-4.70927;3.67967;-3.10431;-12.5453
2.3;0.083333333;-5.4713;4.25771;-2.47284;-13.3934
2.3;0.090909091;-6.43077;4.96301;-1.70275;-14.4601
2.3;0.1;-7.59929;5.78324;-0.806483;-15.7605
2.3;0.111111111;-9.19237;6.85544;0.363628;-17.5301
2.3;0.125;-11.1648;8.09545;1.71915;-19.7267
2.3;0.142857143;-13.7078;9.56834;3.3323;-22.5672
2.3;0.166666667;-16.8349;11.1976;5.12582;-26.087
2.3;0.2;-20.4097;12.8486;6.96442;-30.1828
2.4;0.02;-0.756865;0.592838;-6.40266;-7.95498
2.4;0.020408163;-0.962234;0.67185;-6.31717;-8.17634
2.4;0.020833333;-0.848911;0.683553;-6.30369;-8.0563
2.4;0.021276596;-0.908177;0.725104;-6.25822;-8.12123
2.4;0.02173913;-0.928209;0.744562;-6.23634;-8.1442
2.4;0.022222222;-0.945902;0.756525;-6.22245;-8.16472
2.4;0.022727273;-0.966562;0.772045;-6.2047;-8.1885
2.4;0.023255814;-0.987694;0.788798;-6.18557;-8.21287
2.4;0.023809524;-1.00933;0.805995;-6.16591;-8.23786
2.4;0.024390244;-1.03171;0.824206;-6.1451;-8.26374
2.4;0.025;-1.05508;0.842216;-6.12444;-8.29077
2.4;0.025641026;-1.07951;0.860767;-6.10313;-8.31906
2.4;0.026315789;-1.09955;0.890579;-6.06969;-8.34275
2.4;0.027027027;-1.13643;0.905446;-6.05216;-8.38461
2.4;0.027777778;-1.16349;0.926255;-6.02818;-8.41609
2.4;0.028571429;-1.19152;0.947612;-6.00351;-8.44876
2.4;0.029411765;-1.21692;0.971303;-5.97623;-8.47876
2.4;0.03030303;-1.31561;1.06752;-5.87123;-8.5875
2.4;0.03125;-1.35257;1.0902;-5.84478;-8.63027
2.4;0.032258065;-1.39544;1.11576;-5.81511;-8.67958
2.4;0.033333333;-1.43661;1.14842;-5.77769;-8.72731
2.4;0.034482759;-1.48223;1.18281;-5.73824;-8.78009
2.4;0.035714286;-1.52539;1.21489;-5.70107;-8.8305
2.4;0.037037037;-1.57442;1.25179;-5.65852;-8.88754
2.4;0.038461538;-1.63067;1.29491;-5.60908;-8.95269
2.4;0.04;-1.69477;1.3447;-5.55223;-9.02667
2.4;0.041666667;-1.83012;1.45672;-5.42849;-9.17751
2.4;0.043478261;-1.91246;1.52102;-5.35546;-9.27206
2.4;0.045454545;-2.00872;1.5985;-5.26794;-9.38214
2.4;0.047619048;-2.1215;1.68682;-5.16836;-9.51066
2.4;0.05;-2.259;1.7946;-5.04745;-9.66651
2.4;0.052631579;-2.47721;1.98376;-4.83888;-9.90989
2.4;0.055555556;-2.67719;2.13733;-4.66768;-10.1349
2.4;0.058823529;-2.92783;2.33816;-4.4451;-10.4156
2.4;0.0625;-3.26998;2.61866;-4.13632;-10.7962
2.4;0.066666667;-3.64389;2.91738;-3.80687;-11.213
2.4;0.071428571;-4.15609;3.32437;-3.36022;-11.7807
2.4;0.076923077;-4.74217;3.77226;-2.86808;-12.4311
2.4;0.083333333;-5.52174;4.36741;-2.2163;-13.2935
2.4;0.090909091;-6.49186;5.08789;-1.42776;-14.3662
2.4;0.1;-7.66171;5.91378;-0.522947;-15.6615
2.4;0.111111111;-9.2423;6.98246;0.646091;-17.4094
2.4;0.125;-11.1688;8.20167;1.98254;-19.5461
2.4;0.142857143;-13.6151;9.62925;3.55097;-22.2688
2.4;0.166666667;-16.5439;11.1795;5.26464;-25.5568
2.4;0.2;-19.7649;12.7061;6.9767;-29.2463
2.5;0.02;-0.727711;0.578856;-6.25756;-7.76098
2.5;0.020408163;-0.929764;0.654326;-6.17582;-7.97828
2.5;0.020833333;-0.816215;0.666716;-6.16146;-7.85799
2.5;0.021276596;-0.8751;0.709027;-6.11507;-7.92224
2.5;0.02173913;-0.893843;0.727385;-6.09423;-7.94359
2.5;0.022222222;-0.910481;0.739051;-6.08049;-7.96275
2.5;0.022727273;-0.929891;0.753633;-6.06357;-7.98495
2.5;0.023255814;-0.949518;0.769413;-6.04531;-8.00744
2.5;0.023809524;-0.969754;0.785585;-6.02656;-8.03066
2.5;0.024390244;-0.990453;0.802177;-6.00729;-8.05445
2.5;0.025;-1.01205;0.819219;-5.98746;-8.0793
2.5;0.025641026;-1.03482;0.836938;-5.96683;-8.10549
2.5;0.026315789;-1.06411;0.860526;-5.93983;-8.13875
2.5;0.027027027;-1.08817;0.879092;-5.91811;-8.16654
2.5;0.027777778;-1.11411;0.898058;-5.89585;-8.19645
2.5;0.028571429;-1.13934;0.918959;-5.8714;-8.22573
