2;5;7.1;6.2814;-1.12894;0.740665
2;6;8.611;7.7651;-1.01611;0.749273
2;7;10.0777;9.2526;-1.0734;0.792215
2;8;11.5237;10.7426;-1.10272;0.812473
2;9;12.9633;12.2343;-1.12605;0.827539
2;10;14.4044;13.7274;-1.15099;0.845559
2;11;15.8516;15.2216;-1.17832;0.865962
2;12;17.3066;16.7167;-1.20737;0.888282
2;13;18.77;18.2125;-1.23671;0.909236
2;14;20.2413;19.7089;-1.2678;0.932229
2;15;21.7198;21.2058;-1.30097;0.956389
2;16;23.2044;22.703;-1.32719;0.991476
2;17;24.6941;24.2006;-1.3638;1.01707
2;18;26.1879;25.6985;-1.41333;1.03776
2;19;27.6849;27.1966;-1.4522;1.06629
2;20;29.1844;28.6949;-1.48867;1.09668
2;21;30.6855;30.1933;-1.60742;1.20639
2;22;32.1879;31.6919;-1.65658;1.23488
2;23;33.6911;33.1906;-1.71176;1.2684
2;24;35.1948;34.6894;-1.76611;1.30745
2;25;36.6986;36.1883;-1.82481;1.34687
2;26;38.2024;37.6872;-1.88185;1.38618
2;27;39.7061;39.1863;-1.94192;1.42613
2;28;41.2095;40.6854;-2.00937;1.47243
2;29;42.7126;42.1846;-2.0831;1.52344
2;30;44.2154;43.6838;-2.22646;1.63541
2;31;45.7179;45.1831;-2.31111;1.69312
2;32;47.2199;46.6824;-2.40988;1.75565
2;33;48.7217;48.1817;-2.51642;1.83069
2;34;50.2231;49.6811;-2.64116;1.91307
2;35;51.7243;51.1805;-2.83726;2.06479
2;36;53.2251;52.68;-3.00628;2.17781
2;37;54.7258;54.1794;-3.20895;2.32034
2;38;56.2262;55.6789;-3.50478;2.54041
2;39;57.7264;57.1785;-3.81619;2.76391
2;40;59.2265;58.678;-4.25167;3.0828
2;41;60.7264;60.1776;-4.76103;3.43938
2;42;62.2263;61.6772;-5.44945;3.93858
2;43;63.726;63.1768;-6.34237;4.57143
2;44;65.2257;64.6764;-7.46716;5.32911
2;45;66.7253;66.176;-9.05139;6.36483
